date,corridor,target_source_quote_date,rate,dist_min_10,favourability_percentile_20,ret_5,good,future_regret_bps,centered_benefit_bps
2024-12-24,KZT_RUB,2024-12-24,0.193972,0.0,0.9,-0.015195593125682194,False,168.73569381147786,69.47253096058148
2024-12-25,AMD_RUB,2024-12-25,0.252364,0.0,0.9,-0.033180729815151966,True,75.20882534751215,198.256356117939
2024-12-25,KGS_RUB,2024-12-25,1.14796,0.0,0.9,-0.03034091293036456,True,64.37506533328694,193.57263672241976
2024-12-25,TJS_RUB,2024-12-25,9.13825,0.0,0.9,-0.03104227436934126,True,64.68415725111336,194.6911001901695
2024-12-25,UZS_RUB,2024-12-25,0.00774089,0.0,1.0,-0.0323790737907379,True,84.61559329741213,196.84739505473678
2025-01-17,KZT_RUB,2025-01-17,0.193272,0.0029423211644743485,0.85,-0.0038347352795645717,False,361.5112380479321,-44.21848504916353
2025-01-21,AMD_RUB,2025-01-21,0.255764,0.008724048715845312,0.8,-0.010840517158028695,False,466.6020237406359,-140.04895728829663
2025-01-21,KGS_RUB,2025-01-21,1.16593,0.009026395499783568,0.8,-0.007440387513088953,False,473.61333870815423,-142.50314409134302
2025-01-22,TJS_RUB,2025-01-22,9.12895,0.0,0.9,-0.03406349461637437,False,282.04777110182357,35.610430250943864
2025-01-22,UZS_RUB,2025-01-22,0.00770154,0.0,0.95,-0.034155224112698,False,275.295590232602,39.49103293103459
2025-01-27,KZT_RUB,2025-01-25,0.188093,0.009705558686958105,0.95,-0.027244377097760175,True,27.752228950573514,93.02136597040234
2025-02-03,AMD_RUB,2025-02-01,0.246158,0.009547635647787489,0.85,-0.0005481276365955079,False,365.4969572388457,-22.014504563137354
2025-02-03,TJS_RUB,2025-02-01,8.95358,0.009255512333356197,0.9,-0.0025311096999877103,False,403.8831394816378,-30.5694013112161
2025-02-06,KZT_RUB,2025-02-06,0.188471,0.004798183088004171,0.8,-0.007519786834053965,False,375.76072711451656,-42.072316583146375
2025-02-06,UZS_RUB,2025-02-06,0.00754337,0.007190046892190605,0.95,-0.0014032356495988774,False,793.4915031345403,-143.3599862305578
