rule,thresholds,favourability_threshold,past_advantage_threshold,predicted_regret_threshold,is_primary,corridor,actual_regret_tolerance,n_rows,n_signals,signal_frequency,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal,median_actual_regret_signal,p90_actual_regret_signal
GRID_F0.85_PA0.002_PR0.002,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.002,0.85,0.002,0.002,False,AMD_RUB,0.005,275,20,0.07272727272727272,0.4,0.5044,0.7930214115781127,0.00924480567309902,0.0061280389774822,0.02111794850904812
GRID_F0.85_PA0.002_PR0.002,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.002,0.85,0.002,0.002,False,KGS_RUB,0.005,275,19,0.06909090909090909,0.3157894736842105,0.4982105263157895,0.6338474540460596,0.012239944493222164,0.0140525334176099,0.021871589887241836
GRID_F0.85_PA0.002_PR0.002,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.002,0.85,0.002,0.002,False,KZT_RUB,0.005,275,12,0.04363636363636364,0.5833333333333334,0.43283333333333335,1.3477088948787062,0.005863792595807225,0.00334525432960825,0.01284597169010442
GRID_F0.85_PA0.002_PR0.002,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.002,0.85,0.002,0.002,False,TJS_RUB,0.005,275,27,0.09818181818181818,0.3333333333333333,0.48362962962962963,0.6892326543115331,0.01168917832124184,0.0109786172350469,0.026724833874735204
GRID_F0.85_PA0.002_PR0.002,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.002,0.85,0.002,0.002,False,UZS_RUB,0.005,275,11,0.04,0.36363636363636365,0.4647272727272727,0.782472613458529,0.011342367292911973,0.0121456777041659,0.0266161886342125
GRID_F0.85_PA0.002_PR0.005,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.005,0.85,0.002,0.005,False,AMD_RUB,0.005,275,25,0.09090909090909091,0.4,0.5028,0.7955449482895783,0.0103727066557768,0.0061564699619472,0.026413874645000432
GRID_F0.85_PA0.002_PR0.005,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.005,0.85,0.002,0.005,False,KGS_RUB,0.005,275,31,0.11272727272727273,0.3225806451612903,0.4950322580645161,0.6516356053694774,0.012265781064911377,0.0113944026658516,0.0265298462240828
GRID_F0.85_PA0.002_PR0.005,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.005,0.85,0.002,0.005,False,KZT_RUB,0.005,275,17,0.06181818181818182,0.6470588235294118,0.43376470588235294,1.4917276918904259,0.005017796702735764,0.0024588484393142,0.01371755555855984
GRID_F0.85_PA0.002_PR0.005,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.005,0.85,0.002,0.005,False,TJS_RUB,0.005,275,29,0.10545454545454545,0.3793103448275862,0.5009655172413793,0.7571585903083701,0.011004037925394618,0.0105972916923868,0.0265378260795978
GRID_F0.85_PA0.002_PR0.005,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.005,0.85,0.002,0.005,False,UZS_RUB,0.005,275,17,0.06181818181818182,0.4117647058823529,0.454,0.9069707178025395,0.009511012227773504,0.0059707671497088,0.025019810027435502
GRID_F0.85_PA0.002_PR0.010,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.010,0.85,0.002,0.01,False,AMD_RUB,0.005,275,25,0.09090909090909091,0.4,0.50576,0.7908889591901298,0.0103727066557768,0.0061564699619472,0.026413874645000432
GRID_F0.85_PA0.002_PR0.010,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.010,0.85,0.002,0.01,False,KGS_RUB,0.005,275,31,0.11272727272727273,0.3225806451612903,0.5016774193548387,0.6430041152263375,0.012265781064911377,0.0113944026658516,0.0265298462240828
GRID_F0.85_PA0.002_PR0.010,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.010,0.85,0.002,0.01,False,KZT_RUB,0.005,275,17,0.06181818181818182,0.6470588235294118,0.42976470588235294,1.5056118258965234,0.005017796702735764,0.0024588484393142,0.01371755555855984
GRID_F0.85_PA0.002_PR0.010,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.010,0.85,0.002,0.01,False,TJS_RUB,0.005,275,29,0.10545454545454545,0.3793103448275862,0.49124137931034484,0.7721465674575319,0.011004037925394618,0.0105972916923868,0.0265378260795978
GRID_F0.85_PA0.002_PR0.010,fav>=0.850; past_advantage>=0.002; predicted_regret<=0.010,0.85,0.002,0.01,False,UZS_RUB,0.005,275,17,0.06181818181818182,0.4117647058823529,0.44823529411764707,0.9186351706036745,0.009511012227773504,0.0059707671497088,0.025019810027435502
